link_id,home,work,other,total
1254,1622,571,301,2494
2754,1320,413,226,1959
1643,1248,379,207,1834
315,1204,395,216,1815
1204,704,216,115,1035
1152,688,208,115,1011
1299,524,185,98,807
1285,528,177,90,795
717,438,142,91,671
777,412,105,60,577
178,344,115,60,519
1837,350,115,51,516
821,342,100,58,500
1337,334,112,48,494
2113,320,106,57,483
1849,314,104,53,471
2269,292,102,47,441
361,288,101,50,439
973,272,109,44,425
1616,270,95,57,422
319,286,85,44,415
1425,284,86,42,412
1341,266,91,50,407
1323,260,96,41,397
2109,244,59,68,371
2011,234,94,32,360
2373,218,92,46,356
2133,222,86,45,353
200,244,62,38,344
723,240,65,38,343
1403,226,78,34,338
869,240,59,39,338
2748,220,76,41,337
1061,220,67,43,330
2636,230,65,34,329
979,218,67,41,326
1718,222,56,42,320
1709,230,63,23,316
2752,212,65,38,315
1345,196,71,37,304
547,184,74,45,303
194,212,56,32,300
2872,196,61,36,293
1301,198,60,35,293
1401,194,51,43,288
2924,176,72,31,279
1260,180,61,26,267
50,172,60,28,260
2472,160,70,30,260
2744,162,51,46,259
2313,164,60,34,258
1730,182,39,36,257
2814,168,56,32,256
1815,162,59,34,255
2934,154,61,31,246
2922,162,56,26,244
1041,160,52,25,237
1090,172,47,15,234
2574,160,40,30,230
1343,162,46,21,229
1891,144,63,21,228
1515,148,50,25,223
1803,134,59,28,221
1507,150,47,22,219
2866,132,54,32,218
1444,148,46,24,218
875,160,37,19,216
2014,148,43,23,214
885,138,39,37,214
20,134,41,30,205
883,140,40,24,204
515,138,41,20,199
2087,134,36,28,198
699,134,40,22,196
2700,130,42,24,196
2642,134,43,19,196
2181,134,39,22,195
809,144,30,19,193
2067,128,45,18,191
2396,122,49,19,190
387,130,37,18,185
2020,120,42,21,183
857,116,44,18,178
2139,118,34,24,176
867,114,36,20,170
433,118,33,18,169
2868,106,35,28,169
737,112,37,18,167
2712,104,43,20,167
2532,114,39,14,167
2325,108,35,21,164
1881,108,41,15,164
128,118,30,16,164
1208,108,35,19,162
2385,112,31,19,162
218,108,33,18,159
2369,108,34,17,159
1732,108,32,17,157
871,96,40,21,157
2500,112,24,21,157
915,102,32,22,156
2540,98,39,17,154
1335,90,41,22,153
333,94,37,22,153
2596,102,34,15,151
331,104,34,12,150
2764,96,35,18,149
1339,98,34,17,149
2838,96,37,16,149
1726,104,32,13,149
1879,96,31,22,149
1415,104,29,16,149
373,92,42,14,148
435,100,27,20,147
2066,98,32,16,146
1210,96,31,19,146
2470,102,30,13,145
2496,84,39,20,143
2285,96,35,12,143
887,86,36,21,143
2638,90,27,25,142
329,94,28,20,142
2381,90,33,17,140
2371,90,39,11,140
1096,78,42,19,139
2634,92,32,15,139
48,80,40,16,136
2022,90,29,17,136
893,88,27,21,136
2984,88,26,19,133
2784,90,37,6,133
1631,104,22,6,132
3094,100,24,8,132
1875,84,31,16,131
40,70,41,19,130
2153,92,24,13,129
563,84,31,13,128
166,88,29,11,128
1893,82,29,16,127
42,86,29,11,126
505,88,24,13,125
1905,86,22,17,125
833,88,24,13,125
1427,84,29,12,125
1742,84,30,10,124
653,84,27,12,123
1883,94,19,10,123
2660,84,21,18,123
2305,90,21,11,122
1315,78,26,18,122
2874,78,32,12,122
1871,82,28,12,122
2682,86,30,5,121
2756,84,21,16,121
2426,88,21,11,120
2297,90,18,12,120
1074,84,28,8,120
1431,84,29,7,120
355,72,24,24,120
2363,76,31,13,120
377,74,29,16,119
2375,82,29,7,118
2327,72,33,12,117
1760,76,22,19,117
1098,72,29,16,117
953,82,21,14,117
2079,80,23,14,117
779,66,34,17,117
2632,80,21,15,116
1291,84,25,7,116
439,68,36,12,116
2646,82,26,8,116
1555,78,28,10,116
192,68,29,18,115
2068,82,24,9,115
1720,76,27,12,115
18,90,14,10,114
495,76,29,8,113
877,80,23,10,113
1833,80,21,12,113
631,84,19,10,113
1387,68,30,14,112
1134,78,24,10,112
1066,72,29,11,112
341,78,23,11,112
1835,72,26,13,111
2778,70,32,9,111
2696,78,17,16,111
1701,84,16,11,111
1873,78,22,11,111
1234,64,30,17,111
327,72,26,12,110
2572,78,21,11,110
2319,70,29,11,110
2506,80,20,10,110
1327,70,24,16,110
2876,72,26,12,110
3110,76,20,14,110
579,74,22,13,109
1586,80,17,11,108
335,70,25,13,108
647,78,20,10,108
2367,60,35,12,107
1885,82,13,12,107
262,70,20,17,107
509,76,17,14,107
1907,74,18,15,107
2277,74,19,14,107
44,64,26,17,107
256,70,21,14,105
1313,64,26,15,105
531,62,30,13,105
483,68,20,16,104
116,72,22,10,104
2498,68,26,10,104
2271,62,23,17,102
1610,68,19,15,102
655,84,11,7,102
2428,66,21,15,102
2299,64,25,13,102
2129,66,25,11,102
2624,62,23,16,101
34,74,21,5,100
913,62,23,15,100
825,62,24,14,100
697,70,17,12,99
827,66,24,9,99
2383,58,18,23,99
1933,60,27,12,99
2602,68,24,7,99
859,68,18,12,98
2185,66,18,13,97
745,70,20,7,97
2474,64,24,9,97
2468,64,24,9,97
983,64,20,13,97
2670,68,23,6,97
1333,62,22,12,96
1865,64,26,5,95
2858,68,18,9,95
639,66,17,12,95
1226,58,22,15,95
1612,62,23,9,94
1887,62,19,13,94
1825,70,14,10,94
2111,76,8,9,93
38,68,11,14,93
2564,62,18,13,93
2460,66,16,11,93
1068,48,28,17,93
36,54,19,19,92
1663,66,17,9,92
967,64,17,11,92
987,68,15,9,92
835,60,21,11,92
581,62,18,11,91
2323,64,17,10,91
1349,62,19,9,90
2536,64,21,4,89
981,64,13,12,89
365,62,15,12,89
2762,64,15,9,88
1584,66,14,8,88
1901,50,26,12,88
1827,68,14,5,87
1758,54,22,11,87
1513,60,19,8,87
2044,54,19,13,86
789,62,17,7,86
2219,54,23,9,86
2018,62,12,12,86
1271,58,20,8,86
1170,62,15,9,86
1453,56,19,11,86
2758,58,14,14,86
739,54,15,16,85
759,60,15,10,85
2462,60,17,7,84
244,60,13,11,84
2554,54,21,9,84
1779,56,14,13,83
557,56,16,11,83
2217,56,21,6,83
2586,62,18,3,83
2143,48,19,15,82
2994,52,14,16,82
1303,56,18,8,82
1754,64,11,7,82
709,58,14,10,82
597,58,15,8,81
911,42,26,13,81
1309,58,13,10,81
1716,56,18,7,81
2534,60,20,1,81
1441,58,16,7,81
645,48,20,12,80
3012,56,14,10,80
605,52,18,10,80
