route_id,from_seq,to_seq,from_stop_id,to_stop_id,reachable,network_distance_m,straight_distance_m,detour_factor
11,1,2,11_12523335138,11_fid_63,true,461.083,431.829,1.068
11,2,3,11_fid_63,11_fid_7,true,615.637,526.491,1.169
11,3,4,11_fid_7,11_fid_6,true,681.115,419.983,1.622
11,4,5,11_fid_6,11_fid_3,true,1413.655,813.450,1.738
11,5,6,11_fid_3,11_fid_47,true,751.151,618.628,1.214
11,6,7,11_fid_47,11_10581598642,true,818.125,778.381,1.051
11,7,8,11_10581598642,11_fid_62,true,580.967,453.923,1.280
11,8,9,11_fid_62,11_10705124687,true,877.242,769.893,1.139
11,9,10,11_10705124687,11_10699433596,true,329.184,226.048,1.456
11,10,11,11_10699433596,11_fid_61,true,1277.787,1015.225,1.259
11,11,12,11_fid_61,11_fid_1,true,747.643,452.958,1.651
11,12,13,11_fid_1,11_fid_2,true,569.567,301.018,1.892
11,13,14,11_fid_2,11_fid_48,true,676.420,478.061,1.415
11,14,15,11_fid_48,11_fid_4,true,1001.678,612.807,1.635
11,15,16,11_fid_4,11_fid_5,true,2165.149,797.546,2.715
11,16,17,11_fid_5,11_fid_8,true,1326.863,420.926,3.152
11,17,18,11_fid_8,11_fid_58,true,808.490,511.591,1.580
11,18,19,11_fid_58,11_10698921185,true,666.439,396.274,1.682
11,19,1,11_10698921185,11_12523335138,true,352.151,19.614,17.954
213,1,2,213_fid_60,213_fid_59,true,528.745,254.938,2.074
213,2,3,213_fid_59,213_10699433596,true,947.467,614.135,1.543
213,3,4,213_10699433596,213_fid_61,true,1277.787,1015.225,1.259
213,4,5,213_fid_61,213_fid_1,true,747.643,452.958,1.651
213,5,6,213_fid_1,213_fid_2,true,569.567,301.018,1.892
213,6,7,213_fid_2,213_fid_48,true,676.420,478.061,1.415
213,7,8,213_fid_48,213_fid_4,true,1001.678,612.807,1.635
213,8,9,213_fid_4,213_fid_5,true,2165.149,797.546,2.715
213,9,10,213_fid_5,213_fid_8,true,1326.863,420.926,3.152
213,10,11,213_fid_8,213_fid_58,true,808.490,511.591,1.580
213,11,12,213_fid_58,213_10698921185,true,666.439,396.274,1.682
213,12,13,213_10698921185,213_fid_50,true,2275.056,1388.611,1.638
213,13,14,213_fid_50,213_fid_56,true,695.652,617.354,1.127
213,14,15,213_fid_56,213_fid_57,true,280.411,11.492,24.402
213,15,16,213_fid_57,213_fid_49,true,1050.702,684.634,1.535
213,16,17,213_fid_49,213_12523335138,true,2369.127,1364.528,1.736
213,17,18,213_12523335138,213_fid_63,true,461.083,431.829,1.068
213,18,19,213_fid_63,213_fid_7,true,615.637,526.491,1.169
213,19,20,213_fid_7,213_fid_6,true,681.115,419.983,1.622
213,20,21,213_fid_6,213_fid_3,true,1413.655,813.450,1.738
213,21,1,213_fid_3,213_fid_60,true,3854.782,3698.554,1.042
256,1,2,256_fid_52,256_fid_46,true,1397.227,958.698,1.457
256,2,3,256_fid_46,256_fid_54,true,1508.542,852.268,1.770
256,3,4,256_fid_54,256_fid_55,true,941.666,18.297,51.464
256,4,5,256_fid_55,256_fid_53,true,1661.694,988.896,1.680
256,5,1,256_fid_53,256_fid_52,true,326.457,12.452,26.216
6,1,2,6_fid_59,6_10699433596,true,947.467,614.135,1.543
6,2,3,6_10699433596,6_fid_61,true,1277.787,1015.225,1.259
6,3,4,6_fid_61,6_fid_1,true,747.643,452.958,1.651
6,4,5,6_fid_1,6_fid_2,true,569.567,301.018,1.892
6,5,6,6_fid_2,6_fid_48,true,676.420,478.061,1.415
6,6,7,6_fid_48,6_fid_4,true,1001.678,612.807,1.635
6,7,8,6_fid_4,6_fid_3,true,631.881,26.380,23.953
6,8,9,6_fid_3,6_fid_47,true,751.151,618.628,1.214
6,9,10,6_fid_47,6_10581598642,true,818.125,778.381,1.051
6,10,11,6_10581598642,6_fid_62,true,580.967,453.923,1.280
6,11,12,6_fid_62,6_10705124687,true,877.242,769.893,1.139
6,12,13,6_10705124687,6_fid_60,true,1165.522,1095.047,1.064
6,13,1,6_fid_60,6_fid_59,true,528.745,254.938,2.074
