route_id,stop_seq,stop_id,name,x,y,snapped_link_id,snap_distance_m
11,1,11_12523335138,Жибек Жолы,632982.037,4802874.891,1973,1.311
11,2,11_fid_63,Керемет,632989.112,4803306.662,1983,0.004
11,3,11_fid_7,Переезд,633009.632,4803832.753,1995,0.150
11,4,11_fid_6,Станция Шамалган-3,632612.813,4803970.303,2113,2.758
11,5,11_fid_3,Станция Шамалган-2,631801.371,4803913.180,2277,13.523
11,6,11_fid_47,Станция Шамалган-1,631454.064,4803401.245,274,0.000
11,7,11_10581598642,ст. Шамалган,630955.281,4802803.673,2147,0.000
11,8,11_fid_62,Рынок,630751.740,4802397.942,2155,0.000
11,9,11_10705124687,Магазин Райхан,630406.383,4801709.855,2175,0.000
11,10,11_10699433596,Магазин Райхан,630304.980,4801507.828,2179,0.000
11,11,11_fid_61,Рынок,630760.390,4802415.177,2155,0.000
11,12,11_fid_1,Станция Шамалган,630963.350,4802820.119,2147,0.000
11,13,11_fid_2,Байтурсынова,631166.358,4803042.379,2141,0.007
11,14,11_fid_48,Станция Шамалган,631460.997,4803418.851,274,0.000
11,15,11_fid_4,Станция Шамалган-2,631827.552,4803909.941,2277,7.652
11,16,11_fid_5,Станция Шамалган-3,632622.948,4803968.454,2113,3.117
11,17,11_fid_8,Переезд,633009.391,4803801.599,1995,0.516
11,18,11_fid_58,Керемет,632988.440,4803290.438,1983,0.003
11,19,11_10698921185,Жибек Жолы,632979.041,4802894.275,1973,2.832
213,1,213_fid_60,Кольащы,629921.365,4800728.078,2420,0.791
213,2,213_fid_59,Кольащы,630029.456,4800958.967,2414,0.000
213,3,213_10699433596,Магазин Райхан,630304.980,4801507.828,2179,0.000
213,4,213_fid_61,Рынок,630760.390,4802415.177,2155,0.000
213,5,213_fid_1,Станция Шамалган,630963.350,4802820.119,2147,0.000
213,6,213_fid_2,Байтурсынова,631166.358,4803042.379,2141,0.007
213,7,213_fid_48,Станция Шамалган,631460.997,4803418.851,274,0.000
213,8,213_fid_4,Станция Шамалган-2,631827.552,4803909.941,2277,7.652
213,9,213_fid_5,Станция Шамалган-3,632622.948,4803968.454,2113,3.117
213,10,213_fid_8,Переезд,633009.391,4803801.599,1995,0.516
213,11,213_fid_58,Керемет,632988.440,4803290.438,1983,0.003
213,12,213_10698921185,Жибек Жолы,632979.041,4802894.275,1973,2.832
213,13,213_fid_50,Екпинды,633957.438,4803879.658,2327,0.002
213,14,213_fid_56,Екпинды-1,634551.877,4803713.018,1681,0.002
213,15,213_fid_57,Екпинды-1,634540.812,4803716.120,1681,0.002
213,16,213_fid_49,Екпинды,633881.591,4803900.921,2325,0.035
213,17,213_12523335138,Жибек Жолы,632982.037,4802874.891,1973,1.311
213,18,213_fid_63,Керемет,632989.112,4803306.662,1983,0.004
213,19,213_fid_7,Переезд,633009.632,4803832.753,1995,0.150
213,20,213_fid_6,Станция Шамалган-3,632612.813,4803970.303,2113,2.758
213,21,213_fid_3,Станция Шамалган-2,631801.371,4803913.180,2277,13.523
256,1,256_fid_52,Дачи Шамалган,632667.327,4805025.423,176,0.000
256,2,256_fid_46,Шамалган,632042.853,4804298.007,2876,20.611
256,3,256_fid_54,По требованию 1,632864.267,4804070.764,2866,3.860
256,4,256_fid_55,По требованию 2,632881.959,4804066.095,2866,4.054
256,5,256_fid_53,Дачи Шамалган,632676.821,4805033.480,176,0.000
6,1,6_fid_59,Кольащы,630029.456,4800958.967,2414,0.000
6,2,6_10699433596,Магазин Райхан,630304.980,4801507.828,2179,0.000
6,3,6_fid_61,Рынок,630760.390,4802415.177,2155,0.000
6,4,6_fid_1,Станция Шамалган,630963.350,4802820.119,2147,0.000
6,5,6_fid_2,Байтурсынова,631166.358,4803042.379,2141,0.007
6,6,6_fid_48,Станция Шамалган,631460.997,4803418.851,274,0.000
6,7,6_fid_4,Станция Шамалган-2,631827.552,4803909.941,2277,7.652
6,8,6_fid_3,Станция Шамалган-2,631801.371,4803913.180,2277,13.523
6,9,6_fid_47,Станция Шамалган-1,631454.064,4803401.245,274,0.000
6,10,6_10581598642,ст. Шамалган,630955.281,4802803.673,2147,0.000
6,11,6_fid_62,Рынок,630751.740,4802397.942,2155,0.000
6,12,6_10705124687,Магазин Райхан,630406.383,4801709.855,2175,0.000
6,13,6_fid_60,Кольащы,629921.365,4800728.078,2420,0.791
