route_id,stop_seq,stop_id,name,x,y
6,1,6_fid_59,Кольащы,630029.456443614,4800958.96687169
6,2,6_10699433596,Магазин Райхан,630304.979612751,4801507.82795193
6,3,6_fid_61,Рынок,630760.390208449,4802415.17714247
6,4,6_fid_1,Станция Шамалган,630963.350406517,4802820.11932622
6,5,6_fid_2,Байтурсынова,631166.358191681,4803042.37925057
6,6,6_fid_48,Станция Шамалган,631460.996855556,4803418.85052776
6,7,6_fid_4,Станция Шамалган-2,631827.551629273,4803909.94066043
6,8,6_fid_3,Станция Шамалган-2,631801.370993762,4803913.18021553
6,9,6_fid_47,Станция Шамалган-1,631454.063671678,4803401.24486158
6,10,6_10581598642,ст. Шамалган,630955.280608428,4802803.67306099
6,11,6_fid_62,Рынок,630751.73951676,4802397.94220012
6,12,6_10705124687,Магазин Райхан,630406.382811607,4801709.85511382
6,13,6_fid_60,Кольащы,629921.365098062,4800728.07801302
11,1,11_12523335138,Жибек Жолы,632982.036946854,4802874.89071822
11,2,11_fid_63,Керемет,632989.112058376,4803306.66154475
11,3,11_fid_7,Переезд,633009.632417529,4803832.75254239
11,4,11_fid_6,Станция Шамалган-3,632612.812626643,4803970.30255387
11,5,11_fid_3,Станция Шамалган-2,631801.370993762,4803913.18021553
11,6,11_fid_47,Станция Шамалган-1,631454.063671678,4803401.24486158
11,7,11_10581598642,ст. Шамалган,630955.280608428,4802803.67306099
11,8,11_fid_62,Рынок,630751.73951676,4802397.94220012
11,9,11_10705124687,Магазин Райхан,630406.382811607,4801709.85511382
11,10,11_10699433596,Магазин Райхан,630304.979612751,4801507.82795193
11,11,11_fid_61,Рынок,630760.390208449,4802415.17714247
11,12,11_fid_1,Станция Шамалган,630963.350406517,4802820.11932622
11,13,11_fid_2,Байтурсынова,631166.358191681,4803042.37925057
11,14,11_fid_48,Станция Шамалган,631460.996855556,4803418.85052776
11,15,11_fid_4,Станция Шамалган-2,631827.551629273,4803909.94066043
11,16,11_fid_5,Станция Шамалган-3,632622.947793452,4803968.45392538
11,17,11_fid_8,Переезд,633009.390825448,4803801.59948201
11,18,11_fid_58,Керемет,632988.440243157,4803290.43754302
11,19,11_10698921185,Жибек Жолы,632979.041253621,4802894.27504868
213,1,213_fid_60,Кольащы,629921.365098062,4800728.07801302
213,2,213_fid_59,Кольащы,630029.456443614,4800958.96687169
213,3,213_10699433596,Магазин Райхан,630304.979612751,4801507.82795193
213,4,213_fid_61,Рынок,630760.390208449,4802415.17714247
213,5,213_fid_1,Станция Шамалган,630963.350406517,4802820.11932622
213,6,213_fid_2,Байтурсынова,631166.358191681,4803042.37925057
213,7,213_fid_48,Станция Шамалган,631460.996855556,4803418.85052776
213,8,213_fid_4,Станция Шамалган-2,631827.551629273,4803909.94066043
213,9,213_fid_5,Станция Шамалган-3,632622.947793452,4803968.45392538
213,10,213_fid_8,Переезд,633009.390825448,4803801.59948201
213,11,213_fid_58,Керемет,632988.440243157,4803290.43754302
213,12,213_10698921185,Жибек Жолы,632979.041253621,4802894.27504868
213,13,213_fid_50,Екпинды,633957.438083334,4803879.65793702
213,14,213_fid_56,Екпинды-1,634551.876534814,4803713.01753981
213,15,213_fid_57,Екпинды-1,634540.811612066,4803716.11955808
213,16,213_fid_49,Екпинды,633881.591070345,4803900.92143528
213,17,213_12523335138,Жибек Жолы,632982.036946854,4802874.89071822
213,18,213_fid_63,Керемет,632989.112058376,4803306.66154475
213,19,213_fid_7,Переезд,633009.632417529,4803832.75254239
213,20,213_fid_6,Станция Шамалган-3,632612.812626643,4803970.30255387
213,21,213_fid_3,Станция Шамалган-2,631801.370993762,4803913.18021553
256,1,256_fid_52,Дачи Шамалган,632667.326840777,4805025.42274973
256,2,256_fid_46,Шамалган,632042.852846873,4804298.00660824
256,3,256_fid_54,По требованию 1,632864.267155369,4804070.7638481
256,4,256_fid_55,По требованию 2,632881.958867689,4804066.09494291
256,5,256_fid_53,Дачи Шамалган,632676.821064339,4805033.48030541
