person;activity_number;activity_id;activity_type;start_time;end_time;maximum_duration;link_id;facility_id;coord_x;coord_y
zone_0;1;zone_0_1;home;;38213.0;;2038;;633134.4577175133;4803769.380998451
zone_0;2;zone_0_2;other;38802.0;62668.0;;40;;631986.1810192252;4801923.634337071
zone_0;3;zone_0_3;home;67557.0;;;2038;;633134.4577175133;4803769.380998451
zone_1;1;zone_1_1;home;;32031.0;;1557;;632731.6754934969;4802851.694763392
zone_1;2;zone_1_2;work;35442.0;67941.0;;2764;;634658.5932212531;4803885.344756242
zone_1;3;zone_1_3;home;71352.0;;;1557;;632731.6754934969;4802851.694763392
zone_10;1;zone_10_1;home;;28782.0;;1397;;631407.1893850741;4804082.934081808
zone_10;2;zone_10_2;work;39550.0;63946.0;;315;;630058.9064276607;4804826.804914959
zone_10;3;zone_10_3;home;82405.0;;;1397;;631407.1893850741;4804082.934081808
zone_100;1;zone_100_1;home;;43559.0;;1204;;634549.5731778375;4803645.0555167105
zone_100;2;zone_100_2;other;44282.0;63746.0;;1254;;636388.6401010551;4801896.6194677055
zone_100;3;zone_100_3;home;64376.0;;;1204;;634549.5731778375;4803645.0555167105
zone_1000;1;zone_1000_1;home;;26275.0;;256;;630799.4652318293;4802046.917530914
zone_1000;2;zone_1000_2;work;26748.0;64703.0;;200;;632320.9167567801;4801890.492686475
zone_1000;3;zone_1000_3;home;65171.0;;;256;;630799.4652318293;4802046.917530914
zone_10000;1;zone_10000_1;home;;28463.0;;487;;630485.6144625836;4801666.218818437
zone_10000;2;zone_10000_2;work;32899.0;63208.0;;2396;;632615.6877889372;4803550.049590833
zone_10000;3;zone_10000_3;home;67644.0;;;487;;630485.6144625836;4801666.218818437
zone_10001;1;zone_10001_1;home;;36544.0;;1586;;632621.726573491;4802938.77916462
zone_10001;2;zone_10001_2;other;38345.0;69116.0;;2866;;632847.5079936191;4804071.373999785
zone_10001;3;zone_10001_3;home;70917.0;;;1586;;632621.726573491;4802938.77916462
zone_10002;1;zone_10002_1;home;;53212.0;;2682;;629970.2928854818;4801138.528743979
zone_10002;2;zone_10002_2;other;53471.0;53471.0;;2702;;630097.257937401;4801245.8916784655
zone_10002;3;zone_10002_3;home;53730.0;;;2682;;629970.2928854818;4801138.528743979
zone_10003;1;zone_10003_1;home;;31937.0;;1059;;633799.5651841442;4804475.745377963
zone_10003;2;zone_10003_2;work;37498.0;67475.0;;1835;;630442.2579337053;4803276.817510961
zone_10003;3;zone_10003_3;home;73036.0;;;1059;;633799.5651841442;4804475.745377963
zone_10004;1;zone_10004_1;home;;30732.0;;3084;;630119.0602545536;4802415.255650572
zone_10004;2;zone_10004_2;work;33951.0;60098.0;;1889;;631438.0097454342;4804002.508367293
zone_10004;3;zone_10004_3;home;63317.0;;;3084;;630119.0602545536;4802415.255650572
zone_10005;1;zone_10005_1;home;;27503.0;;2145;;631004.7797922157;4802874.451500051
zone_10005;2;zone_10005_2;work;36149.0;59788.0;;1333;;631941.9223945952;4804485.964057293
zone_10005;3;zone_10005_3;home;67235.0;;;2145;;631004.7797922157;4802874.451500051
zone_10006;1;zone_10006_1;home;;39124.0;;2754;;631423.0319878319;4804629.119078821
zone_10006;2;zone_10006_2;other;39396.0;71788.0;;315;;630058.9064276607;4804826.804914959
zone_10006;3;zone_10006_3;home;72725.0;;;2754;;631423.0319878319;4804629.119078821
zone_10007;1;zone_10007_1;home;;31200.0;;327;;632212.4027994757;4802118.691674171
zone_10007;2;zone_10007_2;work;43851.0;66193.0;;2327;;633990.2666733948;4803870.45258731
zone_10007;3;zone_10007_3;home;88479.0;;;327;;632212.4027994757;4802118.691674171
zone_10008;1;zone_10008_1;home;;36748.0;;16;;632449.3055158543;4803441.57784367
zone_10008;2;zone_10008_2;other;39413.0;55826.0;;2568;;630529.0298580411;4801058.52237347
zone_10008;3;zone_10008_3;home;58406.0;;;16;;632449.3055158543;4803441.57784367
zone_10009;1;zone_10009_1;home;;28461.0;;2588;;630560.9831055879;4801162.177986421
zone_10009;2;zone_10009_2;work;29427.0;62064.0;;1643;;630261.409059017;4803422.039820019
zone_10009;3;zone_10009_3;home;62675.0;;;2588;;630560.9831055879;4801162.177986421
zone_1001;1;zone_1001_1;home;;31848.0;;1821;;634318.2789787306;4803976.057114288
zone_1001;2;zone_1001_2;work;44027.0;61031.0;;1616;;630663.2745583015;4804751.341089865
zone_1001;3;zone_1001_3;home;69923.0;;;1821;;634318.2789787306;4803976.057114288
zone_10010;1;zone_10010_1;home;;32134.0;;2572;;632071.5546702952;4803458.576543817
zone_10010;2;zone_10010_2;work;34171.0;62172.0;;2636;;631750.3439433665;4802192.636111722
zone_10010;3;zone_10010_3;home;64209.0;;;2572;;632071.5546702952;4803458.576543817
zone_10011;1;zone_10011_1;home;;25943.0;;2636;;631750.3439433665;4802192.636111722
zone_10011;2;zone_10011_2;work;28679.0;63594.0;;1811;;631683.2452212682;4803945.561625699
zone_10011;3;zone_10011_3;home;66330.0;;;2636;;631750.3439433665;4802192.636111722
zone_10012;1;zone_10012_1;home;;45763.0;;2754;;631423.0319878319;4804629.119078821
zone_10012;2;zone_10012_2;other;47854.0;52717.0;;563;;631262.302212802;4803297.818039749
zone_10012;3;zone_10012_3;home;54808.0;;;2754;;631423.0319878319;4804629.119078821
zone_10013;1;zone_10013_1;home;;37493.0;;2866;;632847.5079936191;4804071.373999785
zone_10013;2;zone_10013_2;other;39832.0;54064.0;;1643;;630261.409059017;4803422.039820019
zone_10013;3;zone_10013_3;home;56370.0;;;2866;;632847.5079936191;4804071.373999785
zone_10014;1;zone_10014_1;home;;31821.0;;1403;;632040.2194224335;4804799.049864544
zone_10014;2;zone_10014_2;work;41414.0;63734.0;;2426;;631804.034734084;4801268.662004913
zone_10014;3;zone_10014_3;home;79070.0;;;1403;;632040.2194224335;4804799.049864544
