pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---other	828	1886	1528	967	579	341	262	274	258	208	201	200	1488
home---pt interaction	313	543	664	742	633	476	439	172	56	120	54	88	311
home---work	1249	2397	1486	1161	1125	977	859	888	826	798	761	676	3647
other---home	767	1691	1250	931	613	439	366	367	339	258	264	222	1533
other---pt interaction	104	192	213	236	192	166	145	58	12	46	23	39	106
pt interaction---home	320	554	672	751	638	466	417	177	61	119	54	87	308
pt interaction---other	111	190	212	237	199	160	146	55	13	48	29	37	115
pt interaction---pt interaction	1002	3524	3482	1221	6	0	0	0	0	0	0	0	0
pt interaction---work	214	348	379	496	394	311	305	128	54	91	48	50	241
work---home	1312	2507	1580	1403	1386	1075	972	917	803	719	603	536	3004
work---pt interaction	215	353	394	489	402	320	297	143	49	80	47	59	244

average leg duration: 1798.7917715782053 seconds = 00:29:58
