dist_group,main_mode,share
0 - 1000,car,0.022587841606246516
0 - 1000,pt,1.6403661297201537E-5
0 - 1000,walk,0.03726911846724189
1000 - 2000,car,0.06384304976870837
1000 - 2000,pt,0.001345100226370526
1000 - 2000,walk,0.08526623142285358
2000 - 5000,car,0.21875922705947967
2000 - 5000,pt,0.05157311111840163
2000 - 5000,walk,0.17092615071684
5000 - 10000,car,0.1473376857714642
5000 - 10000,pt,0.08172304058265804
5000 - 10000,walk,0.04237065713067156
10000 - 20000,car,0.07135592664282668
10000 - 20000,pt,0.004773465437485647
10000 - 20000,walk,4.7570617761884455E-4
20000+,car,3.7728420983563533E-4
