dist_group,main_mode,share
0 - 1000,car,0.37726027397260276
0 - 1000,pt,2.7397260273972606E-4
0 - 1000,walk,0.6224657534246575
1000 - 2000,car,0.4243349324029655
1000 - 2000,pt,0.008940252943741823
1000 - 2000,walk,0.5667248146532926
2000 - 5000,car,0.49576208178438663
2000 - 5000,pt,0.11687732342007434
2000 - 5000,walk,0.387360594795539
5000 - 10000,car,0.5428174291412341
5000 - 10000,pt,0.30108176708768963
5000 - 10000,walk,0.15610080377107632
10000 - 20000,car,0.9314775160599572
10000 - 20000,pt,0.062312633832976444
10000 - 20000,walk,0.006209850107066381
20000+,car,1.0
