purpose,h,arrival,departure
home,12,0.005577244841048522,0.010383517601128572
home,13,0.014992946425642204,0.0192250910403202
home,14,0.023194777074242973,0.028165086447295037
home,15,0.026475509333683277,0.028017453495620223
home,16,0.07320954036941045,0.12962173157048654
home,17,0.12361799153571076,0.13224631737803877
home,18,0.13342738099143728,0.13124569403890948
home,19,0.07611298841901512,0.021095108428201174
home,20,0.0203077326859355,0.0
home,21,0.0028378334044158655,0.0
home,22,2.46054919458023E-4,0.0
other,10,0.017879990813949673,0.03346346904629113
other,11,0.030920901545224894,0.03433286309504281
other,12,0.03405400085299039,0.03464453265968964
other,13,0.03584199993438535,0.035021816869525275
other,14,0.03479216561136446,0.035956825563465765
other,15,0.016485679603687544,0.0
other,16,0.0031987139529542994,0.0
other,17,2.1324759686361996E-4,0.0
other,18,3.2807322594403074E-5,0.0
work,7,0.0747842918539418,0.16185492601948756
work,8,0.14582854893212166,0.16472556674649783
work,9,0.09020373347331125,0.0
work,10,0.014386010957645747,0.0
work,11,0.0012958892424789212,0.0
work,12,8.201830648600767E-5,0.0
