road_type,hour,congestion_index
all,0,1.0
all,1,1.0
all,2,1.0
all,3,1.0
all,4,1.0
all,5,1.0
all,6,1.0
all,7,0.9759211633044751
all,8,0.9733284038915432
all,9,0.9907161595072715
all,10,0.9891941827334474
all,11,0.9891678799913121
all,12,0.9881056802733943
all,13,0.9869612880608192
all,14,0.9854210872278228
all,15,0.988692917057078
all,16,0.9799467443097569
all,17,0.9794381439606364
all,18,0.9810017278112999
all,19,0.9886203239102577
all,20,0.9981188195722424
all,21,1.0
all,22,1.0
all,23,1.0
living_street,0,1.0
living_street,1,1.0
living_street,2,1.0
living_street,3,1.0
living_street,4,1.0
living_street,5,1.0
living_street,6,1.0
living_street,7,0.9865088303890301
living_street,8,0.9892920061564816
living_street,9,0.9990233200480525
living_street,10,0.9973220213779491
living_street,11,0.9974015994871097
living_street,12,0.9969692660003638
living_street,13,0.9950354168046189
living_street,14,0.99691101289294
living_street,15,0.9975727909438311
living_street,16,0.9919436841308076
living_street,17,0.9876230005199207
living_street,18,0.9918586533901294
living_street,19,0.9978567158168594
living_street,20,1.0
living_street,21,1.0
living_street,22,1.0
living_street,23,1.0
primary,0,1.0
primary,1,1.0
primary,2,1.0
primary,3,1.0
primary,4,1.0
primary,5,1.0
primary,6,1.0
primary,7,0.9494197800908836
primary,8,0.941055375279348
primary,9,0.9672359443576556
primary,10,0.9586477275377174
primary,11,0.9593609332236929
primary,12,0.9588117742501311
primary,13,0.958638774955517
primary,14,0.9587429276834533
primary,15,0.9590272322377312
primary,16,0.9573516554721374
primary,17,0.95704516062205
primary,18,0.9572043884262975
primary,19,0.9590866305505267
primary,20,0.9881503896813821
primary,21,1.0
primary,22,1.0
primary,23,1.0
residential,0,1.0
residential,1,1.0
residential,2,1.0
residential,3,1.0
residential,4,1.0
residential,5,1.0
residential,6,1.0
residential,7,0.9779937041498266
residential,8,0.9743032530817424
residential,9,0.991409596998421
residential,10,0.9894050065893973
residential,11,0.9893594652301367
residential,12,0.987910014156265
residential,13,0.9863361366352569
residential,14,0.985491273711195
residential,15,0.9896004227119927
residential,16,0.9820901399347688
residential,17,0.980697756804016
residential,18,0.9808110069196615
residential,19,0.9893819576304779
residential,20,0.9985069181594279
residential,21,1.0
residential,22,1.0
residential,23,1.0
secondary,0,1.0
secondary,1,1.0
secondary,2,1.0
secondary,3,1.0
secondary,4,1.0
secondary,5,1.0
secondary,6,1.0
secondary,7,0.8992243393440703
secondary,8,0.9009915874454656
secondary,9,0.9674947703299537
secondary,10,0.9762429903780131
secondary,11,0.9753275257638226
secondary,12,0.9751546589877643
secondary,13,0.9738396065696636
secondary,14,0.9594404082231599
secondary,15,0.9628102542798631
secondary,16,0.917990252865702
secondary,17,0.9244426336942253
secondary,18,0.9448775606624611
secondary,19,0.9652499445438812
secondary,20,0.994034325015734
secondary,21,1.0
secondary,22,1.0
secondary,23,1.0
tertiary,0,1.0
tertiary,1,1.0
tertiary,2,1.0
tertiary,3,1.0
tertiary,4,1.0
tertiary,5,1.0
tertiary,6,1.0
tertiary,7,0.9908014744544648
tertiary,8,0.9907277605748316
tertiary,9,0.9969394523227992
tertiary,10,0.995859431772337
tertiary,11,0.9957066233917702
tertiary,12,0.9954817833279788
tertiary,13,0.9952988960407838
tertiary,14,0.995068545144821
tertiary,15,0.9967641463648098
tertiary,16,0.992604332555954
tertiary,17,0.9920212733445387
tertiary,18,0.9926276476298086
tertiary,19,0.9956993674396253
tertiary,20,0.9994506930545298
tertiary,21,1.0
tertiary,22,1.0
tertiary,23,1.0
tertiary_link,0,1.0
tertiary_link,1,1.0
tertiary_link,2,1.0
tertiary_link,3,1.0
tertiary_link,4,1.0
tertiary_link,5,1.0
tertiary_link,6,1.0
tertiary_link,7,0.9870846191113607
tertiary_link,8,0.9875132643939694
tertiary_link,9,0.9951848738973049
tertiary_link,10,0.9904605406758694
tertiary_link,11,0.9908496476442243
tertiary_link,12,0.9889973391085952
tertiary_link,13,0.9900369461811821
tertiary_link,14,0.9899808624820694
tertiary_link,15,0.9914743197066709
tertiary_link,16,0.9891915420841426
