Iteration	car	pt	walk
0	0.0	0.0	0.0
1	0.0	0.0	0.0
2	0.0	0.0	0.0
3	0.0	0.0	0.0
4	0.3606673009415702	0.10181752567172993	0.25906302286670385
5	0.4607460385157967	0.11981234211476001	0.28694924707194647
6	0.49770348741839177	0.1293920803123257	0.30315606443358156
7	0.5168957711361176	0.1355434532987763	0.3139496735671402
8	0.5320855614973262	0.1399396345264263	0.3214133394573669
9	0.5445523440831994	0.14364686197959384	0.32892621633148517
10	0.5573800072176109	0.14700961254552017	0.335340047898691
