iteration;car;pt;walk
0;0.5522128539089924;0.1379055805255733;0.3098815655654342
1;0.5084150782454644;0.14815786883632426;0.34342705291821135
2;0.4881237492208261;0.1548341589842853;0.3570420917948886
3;0.482743348315344;0.15667136904957185;0.36058528263508416
4;0.4851546865260326;0.15526065417801252;0.35958465929595484
5;0.48773006134969327;0.15196351825727503;0.36030642039303173
6;0.4934713428037138;0.15148781207965617;0.35504084511663003
7;0.5010170270004265;0.14756733702962502;0.3514156359699485
8;0.5084642892293559;0.14356484367310784;0.34797086709753616
9;0.5158459368130967;0.1410714871559332;0.3430825760309701
10;0.524261015058561;0.13943112102621305;0.3363078639152259
