person;executed_score;first_act_x;first_act_y;first_act_type
zone_0;122.21263641914842;633134.4577175133;4803769.380998451;home
zone_1;129.19106010567597;632731.6754934969;4802851.694763392;home
zone_10;132.2131214971943;631407.1893850741;4804082.934081808;home
zone_100;123.6811705194547;634549.5731778375;4803645.0555167105;home
zone_1000;131.8405002721299;630799.4652318293;4802046.917530914;home
zone_10000;126.05614875419009;630485.6144625836;4801666.218818437;home
zone_10001;112.01630693663624;632621.726573491;4802938.77916462;home
zone_10002;106.67363113750035;629970.2928854818;4801138.528743979;home
zone_10003;122.54182169072456;633799.5651841442;4804475.745377963;home
zone_10004;138.2097847834641;630119.0602545536;4802415.255650572;home
zone_10005;132.78469772480793;631004.7797922157;4802874.451500051;home
zone_10006;115.84168737286349;631423.0319878319;4804629.119078821;home
zone_10007;127.74119820092899;632212.4027994757;4802118.691674171;home
zone_10008;116.36873696883;632449.3055158543;4803441.57784367;home
zone_10009;137.33881583124727;630560.9831055879;4801162.177986421;home
zone_1001;134.39296337656742;634318.2789787306;4803976.057114288;home
zone_10010;132.3478823849562;632071.5546702952;4803458.576543817;home
zone_10011;130.98398500009517;631750.3439433665;4802192.636111722;home
zone_10012;118.43555397110532;631423.0319878319;4804629.119078821;home
zone_10013;122.35069288628365;632847.5079936191;4804071.373999785;home
zone_10014;132.15765825055385;632040.2194224335;4804799.049864544;home
zone_10015;137.81248556885262;631601.6087897527;4804178.948331237;home
zone_10016;134.62007255890038;632517.976173284;4805082.08241133;home
zone_10017;121.23250820185451;631901.435910394;4804699.736045346;home
zone_10018;103.6569274146925;631093.6399413724;4804046.434606237;home
zone_10019;125.7866143981661;632984.9491104806;4803206.114338469;home
zone_1002;119.4929695514075;630507.4525439278;4800460.30474993;home
zone_10020;131.68334063665228;630814.3358788267;4802522.671108956;home
zone_10021;133.96577932130793;634070.0037926522;4804706.022336001;home
zone_10022;138.381311862376;630918.6471111459;4802901.9294474125;home
zone_10023;124.62148284623495;630092.0945456675;4801083.743613288;home
zone_10024;122.24711775533221;631617.3538702233;4803507.970557354;home
zone_10025;121.16347842851413;633628.9341701218;4803972.448181912;home
zone_10026;134.12884412864224;638123.2489225944;4802985.867932502;home
zone_10027;122.2970431341745;633672.7418689486;4804418.2222278435;home
zone_10028;102.81804199521709;631537.9808897891;4803602.653893404;home
zone_10029;138.70849327995947;633715.8262612585;4804052.9552776255;home
zone_1003;138.02001015874418;634549.5731778375;4803645.0555167105;home
zone_10030;109.71549568270176;630663.2745583015;4804751.341089865;home
zone_10031;141.07224269149347;633875.3638544122;4804969.035035094;home
zone_10032;109.85508870707058;638123.2489225944;4802985.867932502;home
zone_10033;117.70185578110289;633779.9028278597;4804208.838659298;home
zone_10034;133.42529381042038;630672.7993184038;4803212.039297139;home
zone_10035;125.97836647877558;633785.5612609856;4804713.475805817;home
zone_10036;139.73985868850153;630724.6253678098;4803286.034061688;home
zone_10037;137.1712361545449;631384.9462649372;4804246.21377017;home
zone_10038;139.21075899437687;632246.1130241295;4805045.8673726935;home
zone_10039;119.5855026916765;634137.1627449248;4805307.747398743;home
zone_1004;119.32291560212722;635197.0452507571;4805481.377529364;home
zone_10040;133.99746866491702;631436.2285235787;4802359.543552878;home
zone_10041;133.09819336498506;634944.8230657813;4804194.771549395;home
zone_10042;114.28109223521808;630993.2705450779;4802238.054811828;home
zone_10043;115.08641291469694;631036.9913505816;4804758.620460505;home
zone_10044;121.74134276690141;631090.7903383438;4802965.504740237;home
zone_10045;119.95406251740353;633875.3638544122;4804969.035035094;home
zone_10046;129.25776116315808;630434.6109876474;4802586.73078089;home
zone_10047;137.2950930670195;632212.4027994757;4802118.691674171;home
zone_10048;115.37731133687001;631436.2285235787;4802359.543552878;home
zone_10049;130.94947092294464;636388.6401010551;4801896.6194677055;home
zone_1005;127.58668022054748;632664.49160613;4804255.948546523;home
zone_10050;125.92100884158604;630261.409059017;4803422.039820019;home
zone_10051;132.76019915241827;634046.5593811399;4804809.976321165;home
zone_10052;139.91963711500532;634213.9255974949;4804464.89413074;home
zone_10053;117.89996828627022;630869.8033338885;4801478.070572041;home
zone_10054;135.51831890951738;632600.0416899109;4804724.690916756;home
zone_10055;126.13722834806025;631367.1202322228;4803562.3003734965;home
zone_10056;120.47502727638128;632664.49160613;4804255.948546523;home
zone_10057;125.45297846487718;632288.4917385059;4804830.044579669;home
zone_10058;135.9797837858026;632282.9241236048;4803358.281787168;home
zone_10059;135.46561679408472;631864.7868930512;4803507.80000563;home
zone_1006;119.90250269631372;634263.5504429815;4800853.428002883;home
zone_10060;136.27360159596512;634345.4245321029;4804266.418250648;home
zone_10061;132.32174495999524;630727.6492413884;4803620.102834826;home
zone_10062;128.69927625660117;632443.0936911537;4802892.751594785;home
zone_10063;114.35627828403264;634487.2775588173;4800838.802588445;home
zone_10064;133.58639854187635;633875.3638544122;4804969.035035094;home
zone_10065;136.72600054950243;632218.3115986192;4804912.491285831;home
zone_10066;136.89958264971196;631785.7048889603;4803476.904645354;home
zone_10067;123.40160562063687;635094.3955259405;4804127.510495432;home
zone_10068;138.89891124690106;632390.0320176787;4801433.216836926;home
zone_10069;116.67055124063187;636388.6401010551;4801896.6194677055;home
zone_1007;138.32251636139262;630795.9936020375;4800865.079353593;home
zone_10070;127.38996014159764;634549.5731778375;4803645.0555167105;home
zone_10071;131.8302337135082;631630.0170035341;4804044.198488032;home
zone_10072;139.30349467787534;631053.6688814128;4803278.381119996;home
zone_10073;115.7498994221636;632012.5777954571;4802914.076306124;home
zone_10074;122.14499439301285;630559.0979656521;4802734.413342077;home
zone_10075;118.564409357966;631035.0246747728;4804516.011792572;home
zone_10076;132.65202439266295;630924.9920220341;4804611.391601428;home
zone_10077;125.13073337520063;629764.0901870499;4801138.212290615;home
zone_10078;125.322340444125;632945.7852111394;4805400.043875223;home
zone_10079;130.82503984430045;632246.1130241295;4805045.8673726935;home
zone_1008;127.60676553720363;632325.8880450346;4803156.053092441;home
zone_10080;131.30917910353017;631436.2285235787;4802359.543552878;home
zone_10081;97.16900194851782;629423.8783079968;4802073.989117181;home
zone_10082;137.65513751820802;630891.1401182153;4803023.412295256;home
zone_10083;92.46292697590354;630860.8003478084;4803408.619030113;home
zone_10084;124.19789717685066;631572.8171608824;4803681.991156636;home
zone_10085;136.32675000582373;631558.5846738539;4801836.618949456;home
zone_10086;119.73362828162824;630058.9064276607;4804826.804914959;home
zone_10087;120.44089659391217;631360.5026627943;4802822.611847296;home
zone_10088;118.83428005271735;632020.6973962819;4801130.713627308;home
zone_10089;132.40788203272882;631465.6573447593;4803891.440328561;home
zone_1009;134.31169752065404;631878.7538947095;4804442.962823434;home
zone_10090;118.53584470662632;630672.7993184038;4803212.039297139;home
zone_10091;134.63228449813863;631454.3319443192;4803091.304257268;home
zone_10092;132.87340551250438;631264.6832936711;4803727.693131706;home
zone_10093;133.98534138772231;630451.0619626248;4801294.608797247;home
zone_10094;130.46943122896425;633875.3638544122;4804969.035035094;home
zone_10095;131.6025169910817;634399.0444691649;4800654.108941071;home
zone_10096;103.7128565351162;632794.3477807443;4802527.6201878395;home
zone_10097;126.9358845654147;630612.1939011093;4800737.518336041;home
zone_10098;136.21155514070384;631036.9913505816;4804758.620460505;home
zone_10099;123.55367470317573;631644.5532866395;4801378.954876202;home
zone_101;123.33867161365824;630491.4923342166;4803335.067557672;home
zone_1010;126.81315384510621;632622.9876690283;4804457.694485508;home
zone_10100;130.1470455668171;630578.6729411357;4802223.978947081;home
zone_10101;137.67295139836253;630784.690107689;4803830.118691895;home
zone_10102;136.0635513393535;633377.6220774956;4803541.258214202;home
zone_10103;132.09424855141654;631858.3379902898;4803021.299076891;home
zone_10104;131.37380284484473;632418.2317326172;4804577.826135232;home
zone_10105;135.62758562091034;630516.6077097344;4801527.570848123;home
zone_10106;119.83730039604153;631122.2449108451;4803597.379139535;home
zone_10107;138.31962876712484;629697.9366394035;4801055.685945635;home
zone_10108;139.21367673500202;631798.3515079555;4804521.12401115;home
zone_10109;139.42844612947806;630391.4355062505;4801966.863960642;home
zone_1011;137.23698037073657;631626.9802252875;4803804.639918592;home
zone_10110;118.08341109973303;634797.1125424319;4803823.861851618;home
zone_10111;130.45219144260687;630267.8429490145;4803036.621998457;home
zone_10112;122.715668059232;630619.9870648012;4803475.6245865505;home
zone_10113;135.0375818170483;632184.9666166242;4802642.715788703;home
zone_10114;130.74422491701478;629877.3888269383;4801440.092842661;home
zone_10115;118.80168203831838;630768.0374722466;4801816.966242529;home
zone_10116;132.3492376517756;632218.3115986192;4804912.491285831;home
zone_10117;116.03305055254694;631750.3439433665;4802192.636111722;home
zone_10118;136.96311595925613;633126.5268969041;4803531.234511273;home
zone_10119;136.65388675416364;632205.3703326132;4804608.347946653;home
zone_1012;121.40800067928839;630322.5713972222;4802090.789417844;home
zone_10120;131.95935582343014;631936.5578959027;4804158.561608998;home
zone_10121;126.80803100461974;629340.7867590222;4806513.8220451195;home
zone_10122;139.27430928204535;632325.8880450346;4803156.053092441;home
zone_10123;134.32379322088457;632592.7600803594;4804138.517788969;home
zone_10124;104.885452500569;632497.6159324964;4802929.488998777;home
zone_10125;133.91080505778228;635042.7184755765;4805050.685993281;home
zone_10126;102.06600471738722;634035.0254274029;4804913.26696565;home
zone_10127;132.59704604614998;630261.409059017;4803422.039820019;home
zone_10128;137.4769893448607;630363.050743111;4803092.824457379;home
zone_10129;113.90485084370599;637189.5867645489;4804833.534866543;home
zone_1013;123.43606183750431;632755.5019772241;4802947.409596815;home
zone_10130;131.4551832965538;636388.6401010551;4801896.6194677055;home
zone_10131;132.0455658391827;634139.6610709482;4804402.957243785;home
zone_10132;120.9072134660701;632040.2194224335;4804799.049864544;home
zone_10133;118.48280954275648;635813.9615521946;4804071.436933761;home
zone_10134;139.336660570192;630939.4946067771;4801700.885825888;home
zone_10135;122.08089183458763;635094.3955259405;4804127.510495432;home
zone_10136;136.1136391382066;633875.3638544122;4804969.035035094;home
zone_10137;127.47847741021742;634549.5731778375;4803645.0555167105;home
zone_10138;124.61773958421793;631530.5162887073;4802303.805222068;home
zone_10139;122.2577163957599;633825.7461355871;4802535.820418526;home
zone_1014;126.58907518551226;629524.5902157559;4801301.446067899;home
zone_10140;131.79871288197842;632071.5546702952;4803458.576543817;home
zone_10141;115.49078405183538;630261.409059017;4803422.039820019;home
zone_10142;123.73733300344354;635012.7720442864;4804836.814537248;home
zone_10143;135.17327891482793;632278.069346534;4803649.342924172;home
zone_10144;128.29304151404023;630410.2352111915;4801503.937919969;home
zone_10145;139.99368700804627;631423.0319878319;4804629.119078821;home
