iteration;avg_executed;avg_worst;avg_average;avg_best
0;115.33997030012208;115.33997030012208;115.33997030012208;115.33997030012208
1;121.29498010963631;119.45865576335387;120.48022664469813;121.50179752604129
2;123.70140413273057;120.9581374689406;122.5289586295045;123.99527254118559
3;124.45283939938871;121.15778766677384;123.09566505078303;124.8367931208372
4;124.89787013611502;121.13967853919073;123.38854756725463;125.34906465419327
5;125.24332984639551;121.0312868067412;123.56296882845885;125.73446988980527
6;125.45612607634237;120.85481705242917;123.64292279550428;126.01657234313663
7;125.62658182230315;120.67866784048324;123.67723164275145;126.22664860916157
8;125.74943936931972;120.51680670189235;123.69049996723982;126.3825511987097
9;125.90255088503396;120.38827426991939;123.72144933553719;126.57275088655203
10;125.99600975080399;120.2847113705709;123.72432644398414;126.69412517235868
