iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;15:37:59;15:37:59;15:37:59;;;15:37:59;15:37:59;15:38:00;15:38:00;15:38:00;15:38:01;15:38:01;15:38:14;15:38:14;15:38:14;15:38:14;15:38:14;15:38:14;15:38:16;15:38:16;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:13;00:00:00;00:00:00;00:00:02;00:00:16
1;15:38:16;15:38:16;15:38:16;15:38:16;15:38:17;15:38:17;15:38:17;15:38:17;15:38:18;15:38:18;15:38:18;15:38:18;15:38:29;15:38:29;15:38:29;15:38:29;15:38:29;15:38:29;15:38:31;15:38:31;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:11;00:00:00;00:00:00;00:00:01;00:00:14
2;15:38:31;15:38:31;15:38:31;15:38:31;15:38:32;15:38:32;;;15:38:32;15:38:32;15:38:32;15:38:32;15:38:45;15:38:45;15:38:45;15:38:45;15:38:45;15:38:45;15:38:46;15:38:46;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:12;00:00:00;00:00:00;00:00:00;00:00:14
3;15:38:46;15:38:46;15:38:46;15:38:46;15:38:46;15:38:46;;;15:38:46;15:38:46;15:38:47;15:38:47;15:38:58;15:38:58;15:38:58;15:38:58;15:38:58;15:38:58;15:38:59;15:38:59;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:11;00:00:00;00:00:00;00:00:00;00:00:12
4;15:38:59;15:38:59;15:38:59;15:38:59;15:38:59;15:38:59;;;15:38:59;15:38:59;15:38:59;15:38:59;15:39:11;15:39:11;15:39:11;15:39:11;15:39:11;15:39:11;15:39:12;15:39:12;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:11;00:00:00;00:00:00;00:00:00;00:00:13
5;15:39:12;15:39:12;15:39:12;15:39:12;15:39:12;15:39:12;;;15:39:12;15:39:12;15:39:13;15:39:13;15:39:24;15:39:24;15:39:24;15:39:24;15:39:24;15:39:24;15:39:25;15:39:25;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:11;00:00:00;00:00:00;00:00:00;00:00:13
6;15:39:25;15:39:25;15:39:25;15:39:25;15:39:26;15:39:26;;;15:39:26;15:39:26;15:39:26;15:39:26;15:39:39;15:39:39;15:39:39;15:39:39;15:39:39;15:39:39;15:39:40;15:39:40;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:13;00:00:00;00:00:00;00:00:00;00:00:14
7;15:39:40;15:39:40;15:39:40;15:39:40;15:39:41;15:39:41;;;15:39:41;15:39:41;15:39:41;15:39:41;15:39:53;15:39:53;15:39:53;15:39:53;15:39:53;15:39:53;15:39:54;15:39:54;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:11;00:00:00;00:00:00;00:00:00;00:00:13
8;15:39:54;15:39:54;15:39:54;15:39:54;15:39:54;15:39:54;;;15:39:54;15:39:54;15:39:54;15:39:54;15:40:07;15:40:07;15:40:07;15:40:07;15:40:07;15:40:07;15:40:08;15:40:08;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:12;00:00:00;00:00:00;00:00:00;00:00:14
9;15:40:08;15:40:08;15:40:08;15:40:08;15:40:08;15:40:08;;;15:40:08;15:40:08;15:40:08;15:40:08;15:40:21;15:40:21;15:40:21;15:40:21;15:40:21;15:40:21;15:40:22;15:40:22;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:12;00:00:00;00:00:00;00:00:00;00:00:14
10;15:40:22;15:40:22;15:40:22;15:40:22;15:40:22;15:40:22;;;15:40:22;15:40:22;15:40:22;15:40:22;15:40:37;15:40:37;15:40:37;15:40:37;15:40:37;15:40:37;15:40:39;15:40:39;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:14;00:00:00;00:00:00;00:00:01;00:00:16
