route_id,period_start,period_end,headway_sec,vehicle_type,seats,standing,length_m,pcu,layover_sec,speed_kmh
6,06:00:00,07:00:00,900,bus_std,35,30,12.0,2.5,300,30
6,07:00:00,10:00:00,600,bus_std,35,30,12.0,2.5,300,30
6,10:00:00,16:00:00,720,bus_std,35,30,12.0,2.5,300,30
6,16:00:00,20:00:00,600,bus_std,35,30,12.0,2.5,300,30
6,20:00:00,23:00:00,900,bus_std,35,30,12.0,2.5,300,30
11,06:00:00,07:00:00,1200,bus_std,35,30,12.0,2.5,300,30
11,07:00:00,10:00:00,720,bus_std,35,30,12.0,2.5,300,30
11,10:00:00,16:00:00,900,bus_std,35,30,12.0,2.5,300,30
11,16:00:00,20:00:00,720,bus_std,35,30,12.0,2.5,300,30
11,20:00:00,23:00:00,1200,bus_std,35,30,12.0,2.5,300,30
213,06:00:00,07:00:00,1800,bus_std,35,30,12.0,2.5,420,32
213,07:00:00,10:00:00,1200,bus_std,35,30,12.0,2.5,420,32
213,10:00:00,16:00:00,1500,bus_std,35,30,12.0,2.5,420,32
213,16:00:00,20:00:00,1200,bus_std,35,30,12.0,2.5,420,32
213,20:00:00,23:00:00,1800,bus_std,35,30,12.0,2.5,420,32
256,06:00:00,07:00:00,1800,minibus,18,8,7.5,1.8,420,25
256,07:00:00,10:00:00,1200,minibus,18,8,7.5,1.8,420,25
256,10:00:00,16:00:00,1500,minibus,18,8,7.5,1.8,420,25
256,16:00:00,20:00:00,1200,minibus,18,8,7.5,1.8,420,25
256,20:00:00,23:00:00,1800,minibus,18,8,7.5,1.8,420,25
